PartNo,Description,Logic,Category
GH98-39490B,ASSY CASE-REAR_ZK
GH98-39541B,ASSY METAL FRONT GLOBAL-SUB_ZK
GH81-13835A,"A/S-OCTA_SCF TAPE;SM-J510FN,AMS520KT01,O"
GH82-10757A,"SVC PBA-PBA MAIN(COMM)SM-G925F/M64E,SV"
GH98-35849A,ASSY BRACKET-FRONT
GH81-12780A,"A/S-TAPE BATTERY;SM-G925F,YT-6705SRH,TRP"
GH59-13744A,"KEY FPCB-IF,SUB PBA(SM-P605)"
GH98-30034B,ASSY CASE-REAR_OPEN SEV SEHZ 16G SVC_ZK
GH39-01578A,"DATA LINK CABLE-USB CABLE, 3.3PI, 1M, WH"
GH82-09550A,SVC COVER ASSY-B/GLASS
GH96-08583B,ASSY REAR UNIT-EU(BYD)_ZW
GH96-08131A,"ASSY CAMERA-MODULE 5M FF 1/4"" SM-G920F;5"
GH97-18913A,"SVC ASSY SMT-OCTA,(E/BLK),SM-T719"
GH59-14590A,UNIT-TOUCH KEY FPCB(SM-J320F)
GH82-08237A,SVC PBA-PBA MAIN(COMM)
GH97-15959A,"SVC ASSY SMT-OCTA (E/WHT),SM-G900F"
GH98-32391A,"ASSY CASE-REAR(S-GRADE);SM-G900F,WHITE,,"
GH98-32392A,ASSY COVER-BATTERY(S-GRADE)
GH96-08277A,"ASSY CAMERA-MODULE 16M AF 1/2.6"" SM-G925"
GH82-09849A,"SVC PBA-PBA MAIN(COMM)SM-G925F/M32,SVC"
GH82-09602E,SVC COVER ASSY-B/GLASS
GH96-10654A,ASSY VT CAMERA-VT/IRIS
GH96-09751A,"ASSY SPEAKER-SM-G930F;1612,3MM,1.2W,1.5W"
GH81-13670A,"A/S-TOUCH KEY FPCB TAPE;SM-J320F,TOUCH K"
GH81-13671A,"A/S-SCF REWORK TAPE;SM-J320F,SCF TAPE,SV"
GH82-13391A,SVC LCD ASSY-OCTA KIT(E/PG)
GH97-19001A,"SVC ASSY SMT-OCTA,(E/GRAY),SM-R360"
GH42-05677A,INTENNA-SUB (SM-G930F)
GH44-02671A,ADAPTOR-ETA0U83UWE
GH59-14006A,MODULE-RGB+IRLED SUB FPCB (SM-T805)
